Index,Object Fid,Last Upload Time,NE Name,NE ID,NE Type,DCC IP,Net Mask,Software Version,Hardware Version,PCB Version,Manufacture Date,Location,
1,\10.121.15.132_GANDHINAGAR_TN725B_WTR_AM_PH1,2026-07-11 01:12:32,10.121.15.132_GANDHINAGAR_TN725B_WTR_AM_PH1,\e=200,TN725B R2.9.2,10.121.15.132,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
2,\10.121.15.130_HIMMATNAGAR 2_TN725B_WTR_AM_PH1,2026-08-23 01:15:07,10.121.15.130_HIMMATNAGAR 2_TN725B_WTR_AM_PH1,\e=206,TN725B R2.9.2,10.121.15.130,,2.9.1 load2.9.1_p13,B1,0,,GUJ_AHMD WTR,
3,\10.121.15.136_Mehsana2(GNE)_TN725B_WTR_AM_PH1,2026-07-22 01:27:22,10.121.15.136_Mehsana2(GNE)_TN725B_WTR_AM_PH1,\e=151,TN725B R2.9.2,10.121.15.136,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
4,\10.121.25.104_Balisana_TN705B_GJ_SSA MEH_PH3,2026-09-12 01:22:19,10.121.25.104_Balisana_TN705B_GJ_SSA MEH_PH3,\e=193,TN705B R2.9.2,10.121.25.104,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
5,\10.121.17.2_KUVADAVA_TN725B_WTR_RJ_PH1,2026-09-12 01:07:51,10.121.17.2_KUVADAVA_TN725B_WTR_RJ_PH1,\e=456,TN725B R2.9.2,10.121.17.2,,2.9.1 load2.9.1_p13,B1,2,,GUJ _RAJKOT WTR,
6,\10.121.17.9_RJ BHAKTINAGAR_TN725B_WTR_RJ_PH1,2026-08-26 01:11:17,10.121.17.9_RJ BHAKTINAGAR_TN725B_WTR_RJ_PH1,\e=498,TN725B R2.9.2,10.121.17.9,,2.9.1 load2.9.1_p13,B1,0,,GUJ _RAJKOT WTR,
7,\10.121.15.194_Radhanpur_TN725B_WTR_AM_PH1,2026-08-02 01:09:45,10.121.15.194_Radhanpur_TN725B_WTR_AM_PH1,\e=448,TN725B R2.9.2,10.121.15.194,,2.9.1 load2.9.1_p13,B1,2,,GUJ _AHMD WTR,
8,\10.121.15.195_Bhabhar_TN705B_WTR_AM_PH1,2026-05-07 01:11:24,10.121.15.195_Bhabhar_TN705B_WTR_AM_PH1,\e=449,TN705B R2.9.2,10.121.15.195,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
9,\10.121.16.130_Kheda_TN725B_WTR_AM_PH1,2026-05-15 01:22:21,10.121.16.130_Kheda_TN725B_WTR_AM_PH1,\e=435,TN725B R2.9.2,10.121.16.130,,2.9.1 load2.9.1_p13,B1,2,,GUJ _AHMD WTR,
10,\10.121.98.154_Jadiya_TN703B_GJ_SSA PNP_PH3,2026-07-30 01:09:32,10.121.98.154_Jadiya_TN703B_GJ_SSA PNP_PH3,\e=46527,TN703B R2.9.2 Rev.A,10.121.98.154,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
11,\10.121.99.31_VANA_TN705B_GJ_SSA SEN_PH3,2026-08-19 01:13:55,10.121.99.31_VANA_TN705B_GJ_SSA SEN_PH3,\e=668,TN705B R2.9.2,10.121.99.31,,2.9.1 load2.9.1_p13,B1,0,,GUJ _RAJKOT WTR,
12,\10.121.17.152_GHANGHALI_TN705B_WTR_RJ_PH3,2026-09-02 01:11:28,10.121.17.152_GHANGHALI_TN705B_WTR_RJ_PH3,\e=37241,TN705B R2.9.2,10.121.17.152,,2.9.1 load2.9.1_p13,B1,2,,,
13,\10.121.17.8_BAMANBORE_TN705B_WTR_RJ_PH1,2026-08-18 01:13:41,10.121.17.8_BAMANBORE_TN705B_WTR_RJ_PH1,\e=423,TN705B R2.9.2,10.121.17.8,,2.9.1 load2.9.1_p13,B1,0,,GUJ _RAJKOT WTR,
14,\10.121.15.196_Deodar_TN725B_WTR_AM_PH2,2026-09-06 01:08:27,10.121.15.196_Deodar_TN725B_WTR_AM_PH2,\e=450,TN725B R2.9.2,10.121.15.196,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
15,\10.121.16.118_ONJAL_TN703B_GJ_SSA VAL_PH3,2026-08-23 01:07:05,10.121.16.118_ONJAL_TN703B_GJ_SSA VAL_PH3,\e=9535,TN703B R2.9.2 Rev.B,10.121.16.118,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
16,\10.121.24.194_ANK GIDC_TN725B_GJ_SSA BCH_PH2,2026-08-22 01:06:37,10.121.24.194_ANK GIDC_TN725B_GJ_SSA BCH_PH2,\e=5178,TN725B R2.9.2,10.121.24.194,,2.9.1 load2.9.1_p13,B1,0,,Gujrat,
17,\10.121.96.133_KOTDA(J)_TN705B_GJ_SSA BUJ_PH3,2026-08-18 01:13:32,10.121.96.133_KOTDA(J)_TN705B_GJ_SSA BUJ_PH3,\e=12126,TN705B R2.9.2,10.121.96.133,,2.9.1 load2.9.1_p13,B1,2,,SSA SANGALI_PH3,
18,\10.121.96.182_HUDCO_TN703B_GJ_SSA BUJ_PH3,2026-08-10 01:06:39,10.121.96.182_HUDCO_TN703B_GJ_SSA BUJ_PH3,\e=37247,TN703B R2.9.2 Rev.A,10.121.96.182,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
19,\10.121.100.3_Kamrej_TN725B_WTR_AM_PH1,2026-07-11 01:11:57,10.121.100.3_Kamrej_TN725B_WTR_AM_PH1,\e=1411,TN725B R2.9.2,10.121.100.3,,2.9.1 load2.9.1_p13,B1,2,,GUJ _AHMD WTR,
20,\10.121.100.10_Pipodara_TN725B_WTR_AM_PH1,2026-08-02 01:09:06,10.121.100.10_Pipodara_TN725B_WTR_AM_PH1,\e=1403,TN725B R2.9.2,10.121.100.10,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
21,\10.121.18.66_GULABAI TEKRA_TN725B_GJ_SSA AM_PH1,2026-09-10 01:03:31,10.121.18.66_GULABAI TEKRA_TN725B_GJ_SSA AM_PH1,\e=1453,TN725B R2.9.2,10.121.18.66,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
22,\10.121.18.68_DEHGAM_TN725B_GJ_SSA AM_PH1,2026-09-02 01:12:43,10.121.18.68_DEHGAM_TN725B_GJ_SSA AM_PH1,\e=1455,TN725B R2.9.2,10.121.18.68,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
23,\10.121.17.203_INFO_TN725B_GJ_SSA AM_PH1,2026-06-26 01:01:48,10.121.17.203_INFO_TN725B_GJ_SSA AM_PH1,\e=1609,TN725B R2.9.2,10.121.17.203,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
24,\10.121.18.138_Chamunda_TN725B_GJ_SSA AM_PH1,2026-07-25 01:02:34,10.121.18.138_Chamunda_TN725B_GJ_SSA AM_PH1,\e=1618,TN725B R2.9.2,10.121.18.138,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
25,\10.121.17.67_MUNDRA_TN725B_WTR_RJ_PH1,2026-09-04 01:17:14,10.121.17.67_MUNDRA_TN725B_WTR_RJ_PH1,\e=1167,TN725B R2.9.2,10.121.17.67,,2.9.1 load2.9.1_p13,B1,2,,GUJ _RAJKOT WTR,
26,\10.121.18.65_NAVRANGPURA (GNE)_TN725B_GJ_SSA AM_PH1,2026-08-30 01:07:50,10.121.18.65_NAVRANGPURA (GNE)_TN725B_GJ_SSA AM_PH1,\e=1441,TN725B R2.9.2,10.121.18.65,,2.9.1 load2.9.1_p13,B1,0,,GUJ AHMD SSA,
27,\10.121.16.7_Hansot_TN725B_WTR_AM_PH1,2026-09-12 01:08:15,10.121.16.7_Hansot_TN725B_WTR_AM_PH1,\e=1447,TN725B R2.9.2,10.121.16.7,,2.9.1 load2.9.1_p13,B1,2,,GUJ _AHMD WTR,
28,\10.121.18.17_SURDHARA_TN705B_GJ_SSA AM_PH1,2026-09-02 01:15:38,10.121.18.17_SURDHARA_TN705B_GJ_SSA AM_PH1,\e=1882,TN705B R2.9.2,10.121.18.17,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
29,\10.121.18.217_Amraiwadi_TN705B_GJ_SSA AM_PH1,2026-06-23 01:02:25,10.121.18.217_Amraiwadi_TN705B_GJ_SSA AM_PH1,\e=1863,TN705B R2.9.2,10.121.18.217,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
30,\10.121.18.216_HUDCO_TN705B_GJ_SSA AM_PH1,2026-02-06 01:02:25,10.121.18.216_HUDCO_TN705B_GJ_SSA AM_PH1,\e=1862,TN705B R2.9.2,10.121.18.216,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
31,\10.121.18.129_Bapunagar IDC_TN725B_GJ_SSA AM_PH1,2026-08-14 01:11:35,10.121.18.129_Bapunagar IDC_TN725B_GJ_SSA AM_PH1,\e=1631,TN725B R2.9.2,10.121.18.129,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
32,\10.121.18.196_NIKOL_TN705B_GJ_SSA AM_PH1,2026-07-23 01:16:43,10.121.18.196_NIKOL_TN705B_GJ_SSA AM_PH1,\e=1897,TN705B R2.9.2,10.121.18.196,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
33,\10.121.16.229_THASRA_TN705B_WTR_AM_PH1,2026-08-01 01:00:12,10.121.16.229_THASRA_TN705B_WTR_AM_PH1,\e=1828,TN705B R2.9.2,10.121.16.229,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
34,\10.121.18.130_Bhadra(GNE) 1_TN725B_GJ_SSA AM_PH2,2026-08-19 01:08:51,10.121.18.130_Bhadra(GNE) 1_TN725B_GJ_SSA AM_PH2,\e=1435,TN725B R2.9.2,10.121.18.130,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
35,\10.121.18.218_Saraspur_TN705B_GJ_SSA AM_PH1,2026-07-25 01:02:43,10.121.18.218_Saraspur_TN705B_GJ_SSA AM_PH1,\e=1864,TN705B R2.9.2,10.121.18.218,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
36,\10.121.16.228_Godhra 2_TN725B_WTR_AM_PH1,2026-08-22 01:00:11,10.121.16.228_Godhra 2_TN725B_WTR_AM_PH1,\e=1827,TN725B R2.9.2,10.121.16.228,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
37,\10.121.18.86_VASTRAPUR 3_TN725B_GJ_SSA AM_PH1,2026-06-11 01:01:31,10.121.18.86_VASTRAPUR 3_TN725B_GJ_SSA AM_PH1,\e=1847,TN725B R2.9.2,10.121.18.86,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
38,\10.121.100.2_Surat_TN725B_WTR_AM_PH1,2026-08-05 01:16:22,10.121.100.2_Surat_TN725B_WTR_AM_PH1,\e=1404,TN725B R2.9.2,10.121.100.2,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
39,\10.121.16.8_BARODA CITY 1_TN725B_WTR_AM_PH1,2026-08-10 01:19:05,10.121.16.8_BARODA CITY 1_TN725B_WTR_AM_PH1,\e=1357,TN725B R2.9.2,10.121.16.8,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
40,\10.121.16.197_Malpur_TN725B_GJ_SSA HMR_PH1,2026-07-29 01:11:24,10.121.16.197_Malpur_TN725B_GJ_SSA HMR_PH1,\e=1661,TN725B R2.9.2,10.121.16.197,,2.9.1 load2.9.1_p13,B1,2,,GUJ _AHMD WTR,
41,\10.121.18.6_NARANPURA 1(GNE)_TN725B_GJ_SSA AM_PH1,2026-07-09 01:08:07,10.121.18.6_NARANPURA 1(GNE)_TN725B_GJ_SSA AM_PH1,\e=1465,TN725B R2.9.2,10.121.18.6,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
42,\10.121.18.85_GULBAI TEKRA CPAN 1_TN725B_GJ_SSA AM_PH1,2026-09-08 01:02:13,10.121.18.85_GULBAI TEKRA CPAN 1_TN725B_GJ_SSA AM_PH1,\e=1457,TN725B R2.9.2,10.121.18.85,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
43,\10.121.18.76_GITABAUG_TN705B_GJ_SSA AM_PH1,2026-07-22 01:23:36,10.121.18.76_GITABAUG_TN705B_GJ_SSA AM_PH1,\e=2004,TN705B R2.9.2,10.121.18.76,,2.9.1 load2.9.1_p13,B1,0,,Ahemadabad SSA,
44,\10.121.17.129_BHAVNAGAR(GNE)_TN725B_WTR_RJ_PH2,2026-09-01 01:04:54,10.121.17.129_BHAVNAGAR(GNE)_TN725B_WTR_RJ_PH2,\e=607,TN725B R2.9.2,10.121.17.129,,2.9.1 load2.9.1_p13,B1,0,,GUJ _RAJKOT WTR,
45,\10.121.99.9_MULI_TN725B_GJ_SSA SEN_PH3,2026-08-22 01:07:47,10.121.99.9_MULI_TN725B_GJ_SSA SEN_PH3,\e=25609,TN725B R2.9.2,10.121.99.9,,2.9.1 load2.9.1_p13,B1,2,,,
46,\10.121.17.130_BHAVNAGAR_TN725B_WTR_RJ_PH1,2026-09-01 01:05:02,10.121.17.130_BHAVNAGAR_TN725B_WTR_RJ_PH1,\e=608,TN725B R2.9.2,10.121.17.130,,2.9.1 load2.9.1_p13,B1,2,,GUJ _RAJKOT WTR,
47,\10.121.18.22_RANIP_TN725B_GJ_SSA AM_PH1,2026-06-13 01:12:58,10.121.18.22_RANIP_TN725B_GJ_SSA AM_PH1,\e=2016,TN725B R2.9.2,10.121.18.22,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
48,\10.121.17.83_Chitrakoot_TN703B_GJ_SSA BUJ_PH1,2026-08-13 01:26:10,10.121.17.83_Chitrakoot_TN703B_GJ_SSA BUJ_PH1,\e=2689,TN703B R2.9.2 Rev.A,10.121.17.83,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
49,\10.121.17.75_Vansh_TN703B_GJ_SSA BUJ_PH1,2026-08-11 01:12:49,10.121.17.75_Vansh_TN703B_GJ_SSA BUJ_PH1,\e=2485,TN703B R2.9.2 Rev.A,10.121.17.75,,2.9.1 Rev.A load2.9.1_p14,B1,2,,GUJ _GUJRAT CIRCLE SSA,
50,\10.121.17.77_TXPlot 1008_TN703B_GJ_SSA BUJ_PH1,2026-08-25 01:17:44,10.121.17.77_TXPlot 1008_TN703B_GJ_SSA BUJ_PH1,\e=2492,TN703B R2.9.2 Rev.A,10.121.17.77,,2.9.1 Rev.A load2.9.1_p14,B1,2,,GUJ _GUJRAT CIRCLE SSA,
51,\10.121.96.77_LAKHIGAM_TN705B_GJ_SSA BCH_PH3,2026-09-07 01:06:51,10.121.96.77_LAKHIGAM_TN705B_GJ_SSA BCH_PH3,\e=24996,TN705B R2.9.2,10.121.96.77,,2.9.1 load2.9.1_p13,B1,2,,,
52,\10.121.15.146_VIRAMGAM_TN725B_WTR_AM_PH2,2026-09-08 01:03:37,10.121.15.146_VIRAMGAM_TN725B_WTR_AM_PH2,\e=13855,TN725B R2.9.2,10.121.15.146,,2.9.1 load2.9.1_p13,B1,0,,GUJ-AHM WTR -PH3,
53,\10.121.15.217_Ambaji_TN705B_WTR_AM_PH2,2026-08-27 01:19:22,10.121.15.217_Ambaji_TN705B_WTR_AM_PH2,\e=4683,TN705B R2.9.2,10.121.15.217,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
54,\10.121.24.87_IOCL LPG KANDLA_TN703B_GJ_SSA BUJ_PH3,2026-08-17 01:01:23,10.121.24.87_IOCL LPG KANDLA_TN703B_GJ_SSA BUJ_PH3,\e=46587,TN703B R2.9.2 Rev.A,10.121.24.87,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
55,\10.121.19.73_PAWANBHAVANBTS_TN705B_GJ_SSA RJ_PH2,2026-08-23 01:18:20,10.121.19.73_PAWANBHAVANBTS_TN705B_GJ_SSA RJ_PH2,\e=3585,TN705B R2.9.2,10.121.19.73,,2.9.1 load2.9.1_p13,B1,0,,Gujrat,
56,\10.121.17.79_WELSPUN_TN703B_GJ_SSA BUJ_PH1,2026-09-06 01:04:52,10.121.17.79_WELSPUN_TN703B_GJ_SSA BUJ_PH1,\e=2551,TN703B R2.9.2 Rev.A,10.121.17.79,,2.9.1 Rev.A load2.9.1_p14,B1,2,,GUJ BHUJ SSA,
57,\10.121.19.65_KR1(GNE)_TN725B_GJ_SSA RJ_PH2,2026-09-03 01:21:22,10.121.19.65_KR1(GNE)_TN725B_GJ_SSA RJ_PH2,\e=3534,TN725B R2.9.2,10.121.19.65,,2.9.1 load2.9.1_p13,B1,0,,Gujrat,
58,\10.121.19.74_RAIYA ROAD_TN725B_GJ_SSA RJ_PH2,2026-08-19 01:20:37,10.121.19.74_RAIYA ROAD_TN725B_GJ_SSA RJ_PH2,\e=3586,TN725B R2.9.2,10.121.19.74,,2.9.1 load2.9.1_p13,B1,0,,Gujrat,
59,\10.121.18.197_Lavarpur_TN705B_GJ_SSA AM_PH1,2026-08-21 01:15:34,10.121.18.197_Lavarpur_TN705B_GJ_SSA AM_PH1,\e=1898,TN705B R2.9.2,10.121.18.197,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
60,\10.121.19.72_MADHAPAR_TN705B_GJ_SSA RJ_PH2,2026-09-03 01:16:24,10.121.19.72_MADHAPAR_TN705B_GJ_SSA RJ_PH2,\e=3606,TN705B R2.9.2,10.121.19.72,,2.9.1 load2.9.1_p13,B1,2,,Gujrat,
61,\10.121.17.27_RAJKOT KR_TN725B_WTR_RJ_PH3,2026-07-25 01:16:00,10.121.17.27_RAJKOT KR_TN725B_WTR_RJ_PH3,\e=12902,TN725B R2.9.2,10.121.17.27,,2.9.1 load2.9.1_p13,B1,2,,GUJ_RAJKOT WTR_PH2,
62,\10.121.18.2_CIVIL HOSPITAL_TN703B_GJ_SSA AM_PH1,2026-07-26 01:09:53,10.121.18.2_CIVIL HOSPITAL_TN703B_GJ_SSA AM_PH1,\e=33087,TN703B R2.9.2 Rev.A,10.121.18.2,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
63,\10.121.18.5_ANGAN-ARCADE_TN703B_GJ_SSA AM_PH3,2026-08-31 01:15:07,10.121.18.5_ANGAN-ARCADE_TN703B_GJ_SSA AM_PH3,\e=33088,TN703B R2.9.2 Rev.B,10.121.18.5,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
64,\10.121.19.136_GOTRI_TN705B_GJ_SSA VDR_PH2,2026-08-29 01:02:15,10.121.19.136_GOTRI_TN705B_GJ_SSA VDR_PH2,\e=3804,TN705B R2.9.2,10.121.19.136,,2.9.1 load2.9.1_p13,B1,0,,Gujrat,
65,\10.121.19.131_KARELIBAGH_TN725B_GJ_SSA VDR_PH2,2026-08-01 01:02:56,10.121.19.131_KARELIBAGH_TN725B_GJ_SSA VDR_PH2,\e=3800,TN725B R2.9.2,10.121.19.131,,2.9.1 load2.9.1_p13,B1,0,,,
66,\10.121.19.134_FATEHGANJ_TN725B_GJ_SSA VDR_PH2,2026-05-28 01:03:38,10.121.19.134_FATEHGANJ_TN725B_GJ_SSA VDR_PH2,\e=3802,TN725B R2.9.2,10.121.19.134,,2.9.1 load2.9.1_p13,B1,0,,Gujrat,
67,\10.121.19.140_VASANA_TN725B_GJ_SSA VDR_PH2,2026-08-28 01:18:57,10.121.19.140_VASANA_TN725B_GJ_SSA VDR_PH2,\e=3841,TN725B R2.9.2,10.121.19.140,,2.9.1 load2.9.1_p13,B1,2,,Gujrat,
68,\10.121.16.117_AAT_TN703B_GJ_SSA VAL_PH3,2026-09-10 01:08:04,10.121.16.117_AAT_TN703B_GJ_SSA VAL_PH3,\e=9534,TN703B R2.9.2 Rev.B,10.121.16.117,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
69,\10.121.19.141_BHAYALI_TN705B_GJ_SSA VDR_PH2,2026-09-01 01:09:19,10.121.19.141_BHAYALI_TN705B_GJ_SSA VDR_PH2,\e=3877,TN705B R2.9.2,10.121.19.141,,2.9.1 load2.9.1_p13,B1,0,,Gujrat,
70,\10.121.26.80_Richhwani_TN705B_WTR_AM_PH2,2026-07-08 01:07:46,10.121.26.80_Richhwani_TN705B_WTR_AM_PH2,\e=3625,TN705B R2.9.2,10.121.26.80,,2.9.1 load2.9.1_p13,B1,0,,Gujrat,
71,\10.121.19.133_PANIGATE_TN725B_GJ_SSA VDR_PH2,2026-08-01 01:10:48,10.121.19.133_PANIGATE_TN725B_GJ_SSA VDR_PH2,\e=3840,TN725B R2.9.2,10.121.19.133,,2.9.1 load2.9.1_p13,B1,0,,Gujrat,
72,\10.121.18.69_MANEKBAUG_TN705B_GJ_SSA AM_PH1,2026-08-06 01:13:51,10.121.18.69_MANEKBAUG_TN705B_GJ_SSA AM_PH1,\e=1456,TN705B R2.9.2,10.121.18.69,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
73,\10.121.16.74_SARVOTAM BTS_TN703B_GJ_SSA VAL_PH,2026-08-10 01:16:59,10.121.16.74_SARVOTAM BTS_TN703B_GJ_SSA VAL_PH,\e=4433,TN703B R2.9.2 Rev.B,10.121.16.74,,2.9.1 Rev.B load2.9.1_p14,B1,0,,GUJ _GUJRAT CIRCLE SSA,
74,\10.121.24.198_ANK TownTE_TN705B_GJ_SSA BCH_PH2,2026-08-22 01:07:07,10.121.24.198_ANK TownTE_TN705B_GJ_SSA BCH_PH2,\e=5184,TN705B R2.9.2,10.121.24.198,,2.9.1 load2.9.1_p13,B1,0,,Gujrat,
75,\10.121.15.133_TORRENT PHARMA INDRAD_TN703B_GJ_SSA MEH_PH3,2026-08-29 01:06:49,10.121.15.133_TORRENT PHARMA INDRAD_TN703B_GJ_SSA MEH_PH3,\e=39632,TN703B R2.9.2 Rev.B,10.121.15.133,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
76,\10.121.19.209_MORA_TN725B_GJ_SSA SR_PH2,2026-09-12 01:04:16,10.121.19.209_MORA_TN725B_GJ_SSA SR_PH2,\e=30181,TN725B R2.9.2,10.121.19.209,,2.9.1 load2.9.1_p13,B1,0,,,
77,\10.121.19.138_CITY2_TN725B_GJ_SSA VDR_PH2,2026-09-06 01:01:12,10.121.19.138_CITY2_TN725B_GJ_SSA VDR_PH2,\e=3859,TN725B R2.9.2,10.121.19.138,,2.9.1 load2.9.1_p13,B1,0,,Gujrat,
78,\10.121.24.76_COLLECTOR OFFICE_TN705B_GJ_SSA BUJ_PH2,2026-07-21 01:09:41,10.121.24.76_COLLECTOR OFFICE_TN705B_GJ_SSA BUJ_PH2,\e=36577,TN705B R2.9.2,10.121.24.76,,2.9.1 load2.9.1_p13,B1,2,,,
79,\10.121.96.14_JESAR ROAD BTS_TN703B_GJ_SSA AMR_PH2,2026-09-12 01:21:25,10.121.96.14_JESAR ROAD BTS_TN703B_GJ_SSA AMR_PH2,\e=36578,TN703B R2.9.2 Rev.B,10.121.96.14,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
80,\10.121.16.234_Anand2_TN725B_WTR_AM_PH3,2026-09-12 01:10:15,10.121.16.234_Anand2_TN725B_WTR_AM_PH3,\e=5821,TN725B R2.9.2,10.121.16.234,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
81,\10.121.18.92_ADANI WILMAR_TN703B_GJ_SSA AM_PH2,2026-05-23 01:07:04,10.121.18.92_ADANI WILMAR_TN703B_GJ_SSA AM_PH2,\e=11216,TN703B R2.9.2 Rev.A,10.121.18.92,,2.9.1 Rev.A load2.9.1_p14,B1,2,,Adani Fortune House,
82,\10.121.16.237_Thasara_TN725B_WTR_AM_PH2,2026-08-01 01:01:08,10.121.16.237_Thasara_TN725B_WTR_AM_PH2,\e=6055,TN725B R2.9.2,10.121.16.237,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
83,\10.121.16.238_Sevalia_TN705B_WTR_AM_PH3,2026-06-19 01:02:14,10.121.16.238_Sevalia_TN705B_WTR_AM_PH3,\e=6070,TN705B R2.9.2,10.121.16.238,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
84,\10.121.27.29_TEMBURDA_TN703B_MH_SSA CHA_PH3,2026-08-06 01:01:07,10.121.27.29_TEMBURDA_TN703B_MH_SSA CHA_PH3,\e=6292,TN703B R2.9.2 Rev.B,10.121.27.29,,2.9.1 Rev.B load2.9.1_p14,B1,0,,MH_NAGPUR SSA,
