ne_ip,location,type,ssa,phase,ne_name,ne_id,dcc_ip,software_version,hardware_version,pcb_version,last_upload_time,orig_location
10.121.15.132,GANDHINAGAR,TN725B,WTR_AM,PH1,10.121.15.132_GANDHINAGAR_TN725B_WTR_AM_PH1,e=200,10.121.15.132,2.9.1 load2.9.1_p13,B1,0.0,2026-07-11 01:12:32,GUJ _AHMD WTR
10.121.15.130,HIMMATNAGAR 2,TN725B,WTR_AM,PH1,10.121.15.130_HIMMATNAGAR 2_TN725B_WTR_AM_PH1,e=206,10.121.15.130,2.9.1 load2.9.1_p13,B1,0.0,2026-08-23 01:15:07,GUJ_AHMD WTR
10.121.15.136,Mehsana2(GNE),TN725B,WTR_AM,PH1,10.121.15.136_Mehsana2(GNE)_TN725B_WTR_AM_PH1,e=151,10.121.15.136,2.9.1 load2.9.1_p13,B1,0.0,2026-07-22 01:27:22,GUJ _AHMD WTR
10.121.25.104,Balisana,TN705B,GJ_SSA MEH,PH3,10.121.25.104_Balisana_TN705B_GJ_SSA MEH_PH3,e=193,10.121.25.104,2.9.1 load2.9.1_p13,B1,0.0,2026-09-12 01:22:19,GUJ _AHMD WTR
10.121.17.2,KUVADAVA,TN725B,WTR_RJ,PH1,10.121.17.2_KUVADAVA_TN725B_WTR_RJ_PH1,e=456,10.121.17.2,2.9.1 load2.9.1_p13,B1,2.0,2026-09-12 01:07:51,GUJ _RAJKOT WTR
10.121.17.9,RJ BHAKTINAGAR,TN725B,WTR_RJ,PH1,10.121.17.9_RJ BHAKTINAGAR_TN725B_WTR_RJ_PH1,e=498,10.121.17.9,2.9.1 load2.9.1_p13,B1,0.0,2026-08-26 01:11:17,GUJ _RAJKOT WTR
10.121.15.194,Radhanpur,TN725B,WTR_AM,PH1,10.121.15.194_Radhanpur_TN725B_WTR_AM_PH1,e=448,10.121.15.194,2.9.1 load2.9.1_p13,B1,2.0,2026-08-02 01:09:45,GUJ _AHMD WTR
10.121.15.195,Bhabhar,TN705B,WTR_AM,PH1,10.121.15.195_Bhabhar_TN705B_WTR_AM_PH1,e=449,10.121.15.195,2.9.1 load2.9.1_p13,B1,0.0,2026-05-07 01:11:24,GUJ _AHMD WTR
10.121.16.130,Kheda,TN725B,WTR_AM,PH1,10.121.16.130_Kheda_TN725B_WTR_AM_PH1,e=435,10.121.16.130,2.9.1 load2.9.1_p13,B1,2.0,2026-05-15 01:22:21,GUJ _AHMD WTR
10.121.98.154,Jadiya,TN703B,GJ_SSA PNP,PH3,10.121.98.154_Jadiya_TN703B_GJ_SSA PNP_PH3,e=46527,10.121.98.154,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2026-07-30 01:09:32,
10.121.99.31,VANA,TN705B,GJ_SSA SEN,PH3,10.121.99.31_VANA_TN705B_GJ_SSA SEN_PH3,e=668,10.121.99.31,2.9.1 load2.9.1_p13,B1,0.0,2026-08-19 01:13:55,GUJ _RAJKOT WTR
10.121.17.152,GHANGHALI,TN705B,WTR_RJ,PH3,10.121.17.152_GHANGHALI_TN705B_WTR_RJ_PH3,e=37241,10.121.17.152,2.9.1 load2.9.1_p13,B1,2.0,2026-09-02 01:11:28,
10.121.17.8,BAMANBORE,TN705B,WTR_RJ,PH1,10.121.17.8_BAMANBORE_TN705B_WTR_RJ_PH1,e=423,10.121.17.8,2.9.1 load2.9.1_p13,B1,0.0,2026-08-18 01:13:41,GUJ _RAJKOT WTR
10.121.15.196,Deodar,TN725B,WTR_AM,PH2,10.121.15.196_Deodar_TN725B_WTR_AM_PH2,e=450,10.121.15.196,2.9.1 load2.9.1_p13,B1,0.0,2026-09-06 01:08:27,GUJ _AHMD WTR
10.121.16.118,ONJAL,TN703B,GJ_SSA VAL,PH3,10.121.16.118_ONJAL_TN703B_GJ_SSA VAL_PH3,e=9535,10.121.16.118,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-08-23 01:07:05,
10.121.24.194,ANK GIDC,TN725B,GJ_SSA BCH,PH2,10.121.24.194_ANK GIDC_TN725B_GJ_SSA BCH_PH2,e=5178,10.121.24.194,2.9.1 load2.9.1_p13,B1,0.0,2026-08-22 01:06:37,Gujrat
10.121.96.133,KOTDA(J),TN705B,GJ_SSA BUJ,PH3,10.121.96.133_KOTDA(J)_TN705B_GJ_SSA BUJ_PH3,e=12126,10.121.96.133,2.9.1 load2.9.1_p13,B1,2.0,2026-08-18 01:13:32,SSA SANGALI_PH3
10.121.96.182,HUDCO,TN703B,GJ_SSA BUJ,PH3,10.121.96.182_HUDCO_TN703B_GJ_SSA BUJ_PH3,e=37247,10.121.96.182,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2026-08-10 01:06:39,
10.121.100.3,Kamrej,TN725B,WTR_AM,PH1,10.121.100.3_Kamrej_TN725B_WTR_AM_PH1,e=1411,10.121.100.3,2.9.1 load2.9.1_p13,B1,2.0,2026-07-11 01:11:57,GUJ _AHMD WTR
10.121.100.10,Pipodara,TN725B,WTR_AM,PH1,10.121.100.10_Pipodara_TN725B_WTR_AM_PH1,e=1403,10.121.100.10,2.9.1 load2.9.1_p13,B1,0.0,2026-08-02 01:09:06,GUJ _AHMD WTR
10.121.18.66,GULABAI TEKRA,TN725B,GJ_SSA AM,PH1,10.121.18.66_GULABAI TEKRA_TN725B_GJ_SSA AM_PH1,e=1453,10.121.18.66,2.9.1 load2.9.1_p13,B1,0.0,2026-09-10 01:03:31,Guj AHMD SSA
10.121.18.68,DEHGAM,TN725B,GJ_SSA AM,PH1,10.121.18.68_DEHGAM_TN725B_GJ_SSA AM_PH1,e=1455,10.121.18.68,2.9.1 load2.9.1_p13,B1,0.0,2026-09-02 01:12:43,Guj AHMD SSA
10.121.17.203,INFO,TN725B,GJ_SSA AM,PH1,10.121.17.203_INFO_TN725B_GJ_SSA AM_PH1,e=1609,10.121.17.203,2.9.1 load2.9.1_p13,B1,0.0,2026-06-26 01:01:48,Guj AHMD SSA
10.121.18.138,Chamunda,TN725B,GJ_SSA AM,PH1,10.121.18.138_Chamunda_TN725B_GJ_SSA AM_PH1,e=1618,10.121.18.138,2.9.1 load2.9.1_p13,B1,0.0,2026-07-25 01:02:34,Guj AHMD SSA
10.121.17.67,MUNDRA,TN725B,WTR_RJ,PH1,10.121.17.67_MUNDRA_TN725B_WTR_RJ_PH1,e=1167,10.121.17.67,2.9.1 load2.9.1_p13,B1,2.0,2026-09-04 01:17:14,GUJ _RAJKOT WTR
10.121.18.65,NAVRANGPURA (GNE),TN725B,GJ_SSA AM,PH1,10.121.18.65_NAVRANGPURA (GNE)_TN725B_GJ_SSA AM_PH1,e=1441,10.121.18.65,2.9.1 load2.9.1_p13,B1,0.0,2026-08-30 01:07:50,GUJ AHMD SSA
10.121.16.7,Hansot,TN725B,WTR_AM,PH1,10.121.16.7_Hansot_TN725B_WTR_AM_PH1,e=1447,10.121.16.7,2.9.1 load2.9.1_p13,B1,2.0,2026-09-12 01:08:15,GUJ _AHMD WTR
10.121.18.17,SURDHARA,TN705B,GJ_SSA AM,PH1,10.121.18.17_SURDHARA_TN705B_GJ_SSA AM_PH1,e=1882,10.121.18.17,2.9.1 load2.9.1_p13,B1,0.0,2026-09-02 01:15:38,Guj AHMD SSA
10.121.18.217,Amraiwadi,TN705B,GJ_SSA AM,PH1,10.121.18.217_Amraiwadi_TN705B_GJ_SSA AM_PH1,e=1863,10.121.18.217,2.9.1 load2.9.1_p13,B1,0.0,2026-06-23 01:02:25,Guj AHMD SSA
10.121.18.216,HUDCO,TN705B,GJ_SSA AM,PH1,10.121.18.216_HUDCO_TN705B_GJ_SSA AM_PH1,e=1862,10.121.18.216,2.9.1 load2.9.1_p13,B1,0.0,2026-02-06 01:02:25,Guj AHMD SSA
10.121.18.129,Bapunagar IDC,TN725B,GJ_SSA AM,PH1,10.121.18.129_Bapunagar IDC_TN725B_GJ_SSA AM_PH1,e=1631,10.121.18.129,2.9.1 load2.9.1_p13,B1,0.0,2026-08-14 01:11:35,Guj AHMD SSA
10.121.18.196,NIKOL,TN705B,GJ_SSA AM,PH1,10.121.18.196_NIKOL_TN705B_GJ_SSA AM_PH1,e=1897,10.121.18.196,2.9.1 load2.9.1_p13,B1,0.0,2026-07-23 01:16:43,Guj AHMD SSA
10.121.16.229,THASRA,TN705B,WTR_AM,PH1,10.121.16.229_THASRA_TN705B_WTR_AM_PH1,e=1828,10.121.16.229,2.9.1 load2.9.1_p13,B1,0.0,2026-08-01 01:00:12,GUJ _AHMD WTR
10.121.18.130,Bhadra(GNE) 1,TN725B,GJ_SSA AM,PH2,10.121.18.130_Bhadra(GNE) 1_TN725B_GJ_SSA AM_PH2,e=1435,10.121.18.130,2.9.1 load2.9.1_p13,B1,0.0,2026-08-19 01:08:51,Guj AHMD SSA
10.121.18.218,Saraspur,TN705B,GJ_SSA AM,PH1,10.121.18.218_Saraspur_TN705B_GJ_SSA AM_PH1,e=1864,10.121.18.218,2.9.1 load2.9.1_p13,B1,0.0,2026-07-25 01:02:43,Guj AHMD SSA
10.121.16.228,Godhra 2,TN725B,WTR_AM,PH1,10.121.16.228_Godhra 2_TN725B_WTR_AM_PH1,e=1827,10.121.16.228,2.9.1 load2.9.1_p13,B1,0.0,2026-08-22 01:00:11,GUJ _AHMD WTR
10.121.18.86,VASTRAPUR 3,TN725B,GJ_SSA AM,PH1,10.121.18.86_VASTRAPUR 3_TN725B_GJ_SSA AM_PH1,e=1847,10.121.18.86,2.9.1 load2.9.1_p13,B1,0.0,2026-06-11 01:01:31,Guj AHMD SSA
