# COMBINED NETWORK DEVICE LOG FILE
# 600 network device log records
# Contains BTS, OLT, CPAN, ROUTER, SWITCH and FIREWALL logs
2026-09-14 00:00:17 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00001 | RRU communication link failed
2026-09-14 00:08:06 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00002 | RRU communication link failed
2026-09-14 00:16:35 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00003 | High PRB utilization detected
2026-09-14 00:18:10 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00004 | High PRB utilization detected
2026-09-14 00:28:21 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00005 | Baseband processing module initialized
2026-09-14 00:31:00 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00006 | RRU link established successfully
2026-09-14 00:40:24 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00007 | Cell sector A status changed to ACTIVE
2026-09-14 00:44:46 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00008 | RRU link established successfully
2026-09-14 00:48:05 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00009 | S1 interface connection established
2026-09-14 00:55:50 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00010 | Radio unit temperature approaching threshold
2026-09-14 01:03:36 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00011 | Radio unit temperature approaching threshold
2026-09-14 01:09:53 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00012 | Radio unit temperature approaching threshold
2026-09-14 01:14:33 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00013 | Baseband processing module initialized
2026-09-14 01:22:40 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00014 | High PRB utilization detected
2026-09-14 01:24:25 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00015 | RRU communication link failed
2026-09-14 01:34:40 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00016 | S1 interface connection lost
2026-09-14 01:40:42 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00017 | High PRB utilization detected
2026-09-14 01:46:02 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00018 | S1 interface connection established
2026-09-14 01:48:58 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00019 | Radio unit temperature approaching threshold
2026-09-14 01:55:21 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00020 | RRU communication link failed
2026-09-14 02:00:46 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00021 | RRU communication link failed
2026-09-14 02:10:49 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00022 | Cell sector A status changed to ACTIVE
2026-09-14 02:13:37 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00023 | High PRB utilization detected
2026-09-14 02:18:57 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00024 | Baseband processing module initialized
2026-09-14 02:27:34 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00025 | Cell sector A status changed to ACTIVE
2026-09-14 02:32:31 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00026 | Baseband processing module initialized
2026-09-14 02:40:30 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00027 | S1 interface connection established
2026-09-14 02:46:28 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00028 | S1 interface connection lost
2026-09-14 02:48:00 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00029 | S1 interface connection lost
2026-09-14 02:55:01 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00030 | High PRB utilization detected
2026-09-14 03:02:27 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00031 | RRU communication link failed
2026-09-14 03:06:06 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00032 | RRU link established successfully
