# NETWORK DEVICE LOG FILE
# Generated sample logs for testing / parsing applications
# Format: TIMESTAMP | SEVERITY | DEVICE_TYPE | DEVICE | IP | EVENT_ID | MESSAGE
2026-09-14 00:02:07 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00001 | Authentication failure for management user
2026-09-14 00:04:08 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00002 | BGP neighbor session reset
2026-09-14 00:10:05 | INFO    | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00003 | OSPF neighbor adjacency established
2026-09-14 00:12:32 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00004 | S1 interface packet loss detected
2026-09-14 00:17:14 | WARNING | DEVICE_TYPE=Switch | DEVICE=SW-AHM-CORE-01    | IP=10.20.0.2     | EVENT_ID=EVT-00005 | NTP synchronization delay detected
2026-09-14 00:21:51 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00006 | Optical signal loss detected on PON interface
2026-09-14 00:26:27 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00007 | Optical signal level within acceptable range
2026-09-14 00:28:13 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00008 | SNMP polling completed successfully
2026-09-14 00:32:24 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00009 | DHCP lease assigned successfully
2026-09-14 00:38:16 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00010 | Authentication failure for management user
2026-09-14 00:40:59 | INFO    | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00011 | Configuration backup completed successfully
2026-09-14 00:46:39 | WARNING | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00012 | NTP synchronization delay detected
2026-09-14 00:48:45 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00013 | Interface GigabitEthernet0/2 changed state to UP
2026-09-14 00:53:05 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00014 | SNMP polling completed successfully
2026-09-14 00:57:40 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00015 | CPU utilization returned to normal
2026-09-14 01:01:22 | ERROR   | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00016 | BGP neighbor session reset
